state,region,year,total_damages_cr,crops_damage_cr,houses_damage_cr,public_util_damage_cr,deflator_index,total_damages_cr_real_2022,crops_damage_cr_real_2022,houses_damage_cr_real_2022,public_util_damage_cr_real_2022
Arunachal Pradesh,Northeast,1953,0.0,0.0,0.0,,,,,,
Arunachal Pradesh,Northeast,1954,0.0,0.0,0.0,,,,,,
Arunachal Pradesh,Northeast,1955,0.0,0.0,0.0,,,,,,
Arunachal Pradesh,Northeast,1956,0.0,0.0,0.0,,,,,,
Arunachal Pradesh,Northeast,1957,0.0,0.0,0.0,,,,,,
Arunachal Pradesh,Northeast,1958,0.0,0.0,0.0,,,,,,
Arunachal Pradesh,Northeast,1959,0.0,0.0,0.0,,,,,,
Arunachal Pradesh,Northeast,1960,0.0,0.0,0.0,,1.4807409657796,0.0,0.0,0.0,
Arunachal Pradesh,Northeast,1961,0.0,0.0,0.0,,1.51250919184727,0.0,0.0,0.0,
Arunachal Pradesh,Northeast,1962,0.0,0.0,0.0,,1.57914454981879,0.0,0.0,0.0,
Arunachal Pradesh,Northeast,1963,0.0,0.0,0.0,,1.71106034615808,0.0,0.0,0.0,
Arunachal Pradesh,Northeast,1964,0.0,0.0,0.0,,1.85738469964291,0.0,0.0,0.0,
Arunachal Pradesh,Northeast,1965,0.0,0.0,0.0,,2.01155449102702,0.0,0.0,0.0,
Arunachal Pradesh,Northeast,1966,0.0,0.0,0.0,,2.2785019847826,0.0,0.0,0.0,
Arunachal Pradesh,Northeast,1967,0.0,0.0,0.0,,2.4748223801352,0.0,0.0,0.0,
Arunachal Pradesh,Northeast,1968,0.0,0.0,0.0,,2.53459883367324,0.0,0.0,0.0,
Arunachal Pradesh,Northeast,1969,0.0,0.0,0.0,,2.61933970726728,0.0,0.0,0.0,
Arunachal Pradesh,Northeast,1970,0.0,0.0,0.0,,2.66026017117103,0.0,0.0,0.0,
Arunachal Pradesh,Northeast,1971,0.0,0.0,0.0,,2.80191479682417,0.0,0.0,0.0,
Arunachal Pradesh,Northeast,1972,0.0,0.0,0.0,,3.10563122882567,0.0,0.0,0.0,
Arunachal Pradesh,Northeast,1973,0.0,0.0,0.0,,3.65935644592502,0.0,0.0,0.0,
Arunachal Pradesh,Northeast,1974,0.03,0.0,0.0,,4.26928025708201,0.7026945572438141,0.0,0.0,
Arunachal Pradesh,Northeast,1975,0.0,0.0,0.0,,4.19889342115158,0.0,0.0,0.0,
