state,region,year,total_damages_cr,crops_damage_cr,houses_damage_cr,public_util_damage_cr
Arunachal Pradesh,Northeast,1953,0.0,0.0,0.0,
Arunachal Pradesh,Northeast,1954,0.0,0.0,0.0,
Arunachal Pradesh,Northeast,1955,0.0,0.0,0.0,
Arunachal Pradesh,Northeast,1956,0.0,0.0,0.0,
Arunachal Pradesh,Northeast,1957,0.0,0.0,0.0,
Arunachal Pradesh,Northeast,1958,0.0,0.0,0.0,
Arunachal Pradesh,Northeast,1959,0.0,0.0,0.0,
Arunachal Pradesh,Northeast,1960,0.0,0.0,0.0,
Arunachal Pradesh,Northeast,1961,0.0,0.0,0.0,
Arunachal Pradesh,Northeast,1962,0.0,0.0,0.0,
Arunachal Pradesh,Northeast,1963,0.0,0.0,0.0,
Arunachal Pradesh,Northeast,1964,0.0,0.0,0.0,
Arunachal Pradesh,Northeast,1965,0.0,0.0,0.0,
Arunachal Pradesh,Northeast,1966,0.0,0.0,0.0,
Arunachal Pradesh,Northeast,1967,0.0,0.0,0.0,
Arunachal Pradesh,Northeast,1968,0.0,0.0,0.0,
Arunachal Pradesh,Northeast,1969,0.0,0.0,0.0,
Arunachal Pradesh,Northeast,1970,0.0,0.0,0.0,
Arunachal Pradesh,Northeast,1971,0.0,0.0,0.0,
Arunachal Pradesh,Northeast,1972,0.0,0.0,0.0,
Arunachal Pradesh,Northeast,1973,0.0,0.0,0.0,
Arunachal Pradesh,Northeast,1974,0.03,0.0,0.0,
Arunachal Pradesh,Northeast,1975,0.0,0.0,0.0,
Arunachal Pradesh,Northeast,1976,0.02,0.0,0.0,
Arunachal Pradesh,Northeast,1977,0.04,0.04,0.0,
Arunachal Pradesh,Northeast,1978,0.0,0.0,0.0,
Arunachal Pradesh,Northeast,1979,0.0,0.0,0.0,
Arunachal Pradesh,Northeast,1980,0.0,0.0,0.0,
Arunachal Pradesh,Northeast,1981,0.0,0.0,0.0,
Arunachal Pradesh,Northeast,1982,0.02,0.0,0.0,
Arunachal Pradesh,Northeast,1983,0.33,0.33,0.0,
Arunachal Pradesh,Northeast,1984,0.0,0.0,0.0,
Arunachal Pradesh,Northeast,1985,5.96,0.45,0.0,
Arunachal Pradesh,Northeast,1986,1.33,0.32,0.46,
Arunachal Pradesh,Northeast,1987,0.0,0.0,0.0,
Arunachal Pradesh,Northeast,1988,55.99,8.83,1.1,
Arunachal Pradesh,Northeast,1989,1.52,1.52,0.0,
