region,year,regional_total_cr
Western_Ghats,1981,56.91
Western_Ghats,1982,45.14
Western_Ghats,1983,114.5
Western_Ghats,1984,102.49
Western_Ghats,1985,648.5
Western_Ghats,1986,312.27000000000004
Western_Ghats,1987,1.1
Western_Ghats,1988,329.83
Western_Ghats,1989,976.3600000000001
Western_Ghats,1990,73.92
Western_Ghats,1991,464.59000000000003
Western_Ghats,1992,1356.99
Western_Ghats,1993,277.78999999999996
Western_Ghats,1994,587.83
Western_Ghats,1995,28.28
Western_Ghats,1996,572.83
Western_Ghats,1997,1316.81
Western_Ghats,1998,33.86
Western_Ghats,1999,25.630000000000003
Western_Ghats,2000,48.45
Western_Ghats,2001,97.5
Western_Ghats,2002,61.58
Western_Ghats,2003,114.49
Western_Ghats,2004,0.0
Western_Ghats,2005,1896.53
Western_Ghats,2006,3272.62
Western_Ghats,2007,5475.5
Western_Ghats,2008,656.76
Western_Ghats,2009,18582.0
Western_Ghats,2010,1837.98
Western_Ghats,2011,142.22
Western_Ghats,2012,159.57
Western_Ghats,2013,2388.6099999999997
Western_Ghats,2014,957.0899999999999
Western_Ghats,2015,870.5
Western_Ghats,2016,2055.49
Western_Ghats,2017,0.0
Western_Ghats,2018,7941.54
Western_Ghats,2019,0.0
Western_Ghats,2020,0.0
Central_India,2001,1674.3700000000001
Central_India,2002,3.11
Central_India,2003,1613.3200000000002
Central_India,2004,84.52000000000001
Central_India,2005,684.18
Central_India,2006,2160.98
Central_India,2007,1297.44
Central_India,2008,3215.58
Central_India,2009,483.02
Central_India,2010,327.63
Central_India,2011,2945.44
Central_India,2012,288.71
Central_India,2013,39.55
Central_India,2014,464.06
Central_India,2015,69.01
Central_India,2016,239.16000000000003
Central_India,2017,334.99
Central_India,2018,343.4
Central_India,2019,468.07
Central_India,2020,1541.56
Indo_Gangetic_Plain,1981,754.16
Indo_Gangetic_Plain,1982,883.03
Indo_Gangetic_Plain,1983,1109.3600000000001
Indo_Gangetic_Plain,1984,1001.15
Indo_Gangetic_Plain,1985,2754.63
Indo_Gangetic_Plain,1986,1214.58
Indo_Gangetic_Plain,1987,1989.03
Indo_Gangetic_Plain,1988,2689.71
Indo_Gangetic_Plain,1989,17.5
Indo_Gangetic_Plain,1990,725.54
Indo_Gangetic_Plain,1991,355.15999999999997
Indo_Gangetic_Plain,1992,549.35
Indo_Gangetic_Plain,1993,2257.16
Indo_Gangetic_Plain,1994,718.5
Indo_Gangetic_Plain,1995,2431.41
Indo_Gangetic_Plain,1996,840.78
Indo_Gangetic_Plain,1997,114.48
Indo_Gangetic_Plain,1998,2960.6000000000004
Indo_Gangetic_Plain,1999,2605.2400000000002
Indo_Gangetic_Plain,2000,5954.05
Indo_Gangetic_Plain,2001,4023.0
Indo_Gangetic_Plain,2002,1655.3500000000001
Indo_Gangetic_Plain,2003,1812.4800000000002
Indo_Gangetic_Plain,2004,2401.01
Indo_Gangetic_Plain,2005,1040.18
Indo_Gangetic_Plain,2006,168.68
Indo_Gangetic_Plain,2007,2401.9599999999996
Indo_Gangetic_Plain,2008,1325.6599999999999
Indo_Gangetic_Plain,2009,150.35
Indo_Gangetic_Plain,2010,407.01
Indo_Gangetic_Plain,2011,2496.57
Indo_Gangetic_Plain,2012,809.1600000000001
Indo_Gangetic_Plain,2013,1309.22
Indo_Gangetic_Plain,2014,368.74
Indo_Gangetic_Plain,2015,26017.73
Indo_Gangetic_Plain,2016,1176.65
Indo_Gangetic_Plain,2017,18072.64
Indo_Gangetic_Plain,2018,820.54
Indo_Gangetic_Plain,2019,2080.06
Indo_Gangetic_Plain,2020,1413.15
Northeast,1981,7.4
Northeast,1982,25.54
Northeast,1983,80.02
Northeast,1984,79.28999999999999
Northeast,1985,76.92
Northeast,1986,206.43
Northeast,1987,349.33000000000004
Northeast,1988,741.75
Northeast,1989,310.14
Northeast,1990,74.54
Northeast,1991,194.85
Northeast,1992,30.7
Northeast,1993,223.74
Northeast,1994,8.75
Northeast,1995,0.0
Northeast,1996,195.02
Northeast,1997,36.36
Northeast,1998,613.43
Northeast,1999,88.33
Northeast,2000,255.32000000000002
Northeast,2001,42.769999999999996
Northeast,2002,778.74
Northeast,2003,6377.15
Northeast,2004,784.4
Northeast,2005,549.01
Northeast,2006,277.49
Northeast,2007,338.01
Northeast,2008,547.3499999999999
Northeast,2009,744.47
Northeast,2010,1212.01
Northeast,2011,1211.3
Northeast,2012,4017.3199999999997
Northeast,2013,893.58
Northeast,2014,3996.0299999999997
Northeast,2015,2076.89
Northeast,2016,169.78
Northeast,2017,5872.450000000001
Northeast,2018,5341.0599999999995
Northeast,2019,3563.29
Northeast,2020,3967.73
