region,year,regional_total_cr_real_2022,n_reporting,n_states_in_region,pct_states_reporting,data_quality_flag
Western_Ghats,2000,158.2792290805337,4,4,100.0,
Western_Ghats,2001,308.5953315387589,4,4,100.0,
Western_Ghats,2002,187.92302110992023,4,4,100.0,
Western_Ghats,2003,336.37749453664316,4,4,100.0,
Western_Ghats,2004,0.0,4,4,100.0,
Western_Ghats,2005,4989.829574359416,4,4,100.0,
Western_Ghats,2006,7943.072652512635,4,4,100.0,
Western_Ghats,2007,12426.780167906856,4,4,100.0,
Western_Ghats,2008,1365.0321239996292,4,4,100.0,
Western_Ghats,2009,36081.20643052632,4,4,100.0,
Western_Ghats,2010,3228.9758865414456,4,4,100.0,
Western_Ghats,2011,229.78464907333844,4,4,100.0,
Western_Ghats,2012,238.86457791421702,4,4,100.0,
Western_Ghats,2013,3367.258282906836,4,4,100.0,
Western_Ghats,2014,1305.7202776528952,4,4,100.0,
Western_Ghats,2015,1161.1201855756399,4,4,100.0,
Western_Ghats,2016,2655.732270571495,4,4,100.0,
Western_Ghats,2017,0.0,4,4,100.0,
Western_Ghats,2018,9499.900092522303,3,4,75.0,Only 3/4 states reporting
Western_Ghats,2019,0.0,1,4,25.0,Only 1/4 states reporting
Western_Ghats,2020,0.0,2,4,50.0,Only 2/4 states reporting
Central_India,2000,0.16334285766824944,2,4,50.0,Only 2/4 states reporting; Jharkhand data embedded in Bihar (IGP) pre-2001; Central_India total likely understated
Central_India,2001,5299.515541215915,4,4,100.0,
Central_India,2002,9.490753420783562,4,4,100.0,
Central_India,2003,4740.016940220607,4,4,100.0,
Central_India,2004,234.87644945755844,4,4,100.0,
Central_India,2005,1800.0989165397993,4,4,100.0,
Central_India,2006,5244.978378371688,4,4,100.0,
Central_India,2007,2944.5715753902055,4,4,100.0,
Central_India,2008,6683.36987223754,4,4,100.0,
Central_India,2009,937.8938935568198,4,4,100.0,
Central_India,2010,575.5826340371351,4,4,100.0,
Central_India,2011,4758.943163876908,4,4,100.0,
Central_India,2012,432.1776793232662,4,4,100.0,
Central_India,2013,55.75421064508872,4,4,100.0,
Central_India,2014,633.0988225220226,4,4,100.0,
Central_India,2015,92.04928662443987,4,4,100.0,
Central_India,2016,308.99927989427283,4,4,100.0,
Central_India,2017,416.289849153203,4,4,100.0,
Central_India,2018,410.7850230272917,4,4,100.0,
Central_India,2019,546.7663289303462,3,4,75.0,Only 3/4 states reporting
Central_India,2020,1718.0212765932138,4,4,100.0,
Indo_Gangetic_Plain,2000,19451.030833992812,6,6,100.0,Bihar total may include former Jharkhand territory; IGP total likely overstated
Indo_Gangetic_Plain,2001,12733.118141337713,6,6,100.0,
Indo_Gangetic_Plain,2002,5051.6137218952,6,6,100.0,
Indo_Gangetic_Plain,2003,5325.159239215434,6,6,100.0,
Indo_Gangetic_Plain,2004,6672.275247421821,6,6,100.0,
Indo_Gangetic_Plain,2005,2736.746018600907,5,6,83.0,Only 5/6 states reporting
Indo_Gangetic_Plain,2006,409.4082096380977,6,6,100.0,
Indo_Gangetic_Plain,2007,5451.306527642325,6,6,100.0,
Indo_Gangetic_Plain,2008,2755.2964332501188,6,6,100.0,
Indo_Gangetic_Plain,2009,291.93894020178845,6,6,100.0,
Indo_Gangetic_Plain,2010,715.0379631885189,6,6,100.0,
Indo_Gangetic_Plain,2011,4033.7045516595736,6,6,100.0,
Indo_Gangetic_Plain,2012,1211.2531294420496,6,6,100.0,
Indo_Gangetic_Plain,2013,1845.6405866717955,6,6,100.0,
Indo_Gangetic_Plain,2014,503.05749217077664,6,6,100.0,
Indo_Gangetic_Plain,2015,34703.861557561046,5,6,83.0,Only 5/6 states reporting
Indo_Gangetic_Plain,2016,1520.2542343518817,4,6,67.0,Only 4/6 states reporting
Indo_Gangetic_Plain,2017,22458.74975193332,5,6,83.0,Only 5/6 states reporting
Indo_Gangetic_Plain,2018,981.5537064496621,5,6,83.0,Only 5/6 states reporting
Indo_Gangetic_Plain,2019,2429.7792427518443,3,6,50.0,Only 3/6 states reporting
Indo_Gangetic_Plain,2020,1574.9122752391734,4,6,67.0,Only 4/6 states reporting
Northeast,2000,834.0939683971488,4,4,100.0,
Northeast,2001,135.37048543500222,4,4,100.0,
Northeast,2002,2376.472449807393,4,4,100.0,
Northeast,2003,18736.393914615724,4,4,100.0,
Northeast,2004,2179.8046255857644,4,4,100.0,
Northeast,2005,1444.4624311869904,4,4,100.0,
Northeast,2006,673.5041741313477,4,4,100.0,
Northeast,2007,767.1219002016613,4,4,100.0,
Northeast,2008,1137.6306916852382,4,4,100.0,
Northeast,2009,1445.55891461274,4,4,100.0,
Northeast,2010,2129.267491619657,4,4,100.0,
Northeast,2011,1957.095664621958,4,4,100.0,
Northeast,2012,6013.633177579384,4,4,100.0,
Northeast,2013,1259.6927319402878,4,4,100.0,
Northeast,2014,5451.626702932116,4,4,100.0,
Northeast,2015,2770.268698702114,4,4,100.0,
Northeast,2016,219.35899707496918,4,4,100.0,
Northeast,2017,7297.654630465768,4,4,100.0,
Northeast,2018,6389.130620530423,4,4,100.0,
Northeast,2019,4162.383814844389,3,4,75.0,Only 3/4 states reporting
Northeast,2020,4421.913230608729,3,4,75.0,Only 3/4 states reporting
