donor,recipient,is_own_curve,delta,E_D_ant,E_D_nat,pct_extrapolated_before_donorcap,reliable
Central_India,Central_India,True,1.0481100021890348,1788.0135595444503,1705.9407464961564,0.0,True
Central_India,Indo_Gangetic_Plain,False,1.0602915761282299,887.9623363300598,837.4699529091337,12.666666666666666,True
Central_India,Northeast,False,0.9921825588376076,3419.701115873552,3446.6450608443533,82.0,False
Central_India,Western_Ghats,False,1.0993364424541907,1170.6230099760985,1064.845087244416,4.833333333333333,True
Northeast,Central_India,False,1.0114758178237409,1687.8925739212261,1668.7423902558955,73.0,False
Northeast,Indo_Gangetic_Plain,False,1.0,1595.2281698364932,1595.2281698364932,100.0,False
Northeast,Northeast,True,1.0061563768339556,3383.7278455651535,3363.0238037278423,0.0,True
Northeast,Western_Ghats,False,1.0,1595.2281698364932,1595.2281698364932,100.0,False
Western_Ghats,Central_India,False,1.0862826439397442,9022.837479499934,8306.160031035559,27.333333333333332,True
Western_Ghats,Indo_Gangetic_Plain,False,1.283229442327099,1064.5286761083296,829.5700215370979,0.0,True
Western_Ghats,Northeast,False,1.0,17104.269878955758,17104.269878955758,100.0,False
Western_Ghats,Western_Ghats,True,1.3012417814709707,3719.7212484920988,2858.593461614176,0.0,True
