year,deflator_index
1960,1.4807409657796
1961,1.51250919184727
1962,1.57914454981879
1963,1.71106034615808
1964,1.85738469964291
1965,2.01155449102702
1966,2.2785019847826
1967,2.4748223801352
1968,2.53459883367324
1969,2.61933970726728
1970,2.66026017117103
1971,2.80191479682417
1972,3.10563122882567
1973,3.65935644592502
1974,4.26928025708201
1975,4.19889342115158
1976,4.45006531955297
1977,4.70092570737406
1978,4.81658175141862
1979,5.57413581029161
1980,6.21562524163142
1981,6.88862716034943
1982,7.44632098471959
1983,8.08319436421132
1984,8.72364467527372
1985,9.35120495613869
1986,9.98609570765228
1987,10.9175880607911
1988,11.8163801753813
1989,12.8133055864533
1990,14.1802679594129
1991,16.1303127348422
1992,17.5764198477346
1993,19.3097682064243
1994,21.2368917187623
1995,23.1615279764214
1996,24.9160179568326
1997,26.5296468670007
1998,28.6547160249704
1999,29.5339560481166
2000,30.6104599330265
2001,31.594774786071
2002,32.768736707346
2003,34.0361652784497
2004,35.9848763872227
2005,38.0079113271814
2006,41.2009324749758
2007,44.062097550747
2008,48.113153416174
2009,51.5004952392024
2010,56.9214532589359
2011,61.8927332933406
2012,66.8035425735272
2013,70.9363464075585
2014,73.2997730356476
2015,74.9707059453487
2016,77.3982386243201
2017,80.4703743512893
2018,83.5960370388638
2019,85.6069540558026
2020,89.7288072623215
2021,97.2255663027036
2022,100.0
2023,103.511128102947
2024,106.064599179458
2025,107.097208955348
