year,scenario,gmt_mean_c,gmt_p10_c,gmt_p90_c
1850,Hist-NAT,13.561741229338148,13.384812412489305,13.732923858963392
1851,Hist-NAT,13.564815256302541,13.42395641660924,13.707853932402253
1852,Hist-NAT,13.517128404052714,13.360298320062531,13.681181363724738
1853,Hist-NAT,13.519822445947382,13.329621566633017,13.655165943214138
1854,Hist-NAT,13.50230448600566,13.390804841196939,13.604276379480229
1855,Hist-NAT,13.516571734289695,13.417352041678338,13.640776526313612
1856,Hist-NAT,13.51629094118688,13.400495284597037,13.6232863476562
1857,Hist-NAT,13.512962020415893,13.37290271336721,13.668285038130426
1858,Hist-NAT,13.57446977182809,13.43449667989068,13.714387558671513
1859,Hist-NAT,13.569146628550651,13.415334466021614,13.723650056230685
1860,Hist-NAT,13.558700978899434,13.355772350631042,13.744177174589618
1861,Hist-NAT,13.51094308080841,13.32337541794099,13.65089109168539
1862,Hist-NAT,13.456033827664786,13.330932102007534,13.584204900765224
1863,Hist-NAT,13.4512949643071,13.35173598823261,13.561093173424968
1864,Hist-NAT,13.445408860839787,13.314879315465095,13.623337211106065
1865,Hist-NAT,13.463681683452371,13.359537016080576,13.596994917252351
1866,Hist-NAT,13.49252465398904,13.36234528833017,13.641693678698323
1867,Hist-NAT,13.495806893199836,13.337856219942301,13.672151652846605
1868,Hist-NAT,13.49442218174415,13.354304196455411,13.6317531711374
1869,Hist-NAT,13.537273849291738,13.412949876757903,13.658485419720659
1870,Hist-NAT,13.550754504107571,13.429143739230193,13.66335692669495
1871,Hist-NAT,13.508364033492676,13.307699021121147,13.647525544577416
1872,Hist-NAT,13.498342194670203,13.397813720688964,13.611436033067804
1873,Hist-NAT,13.508765743113806,13.369708340541411,13.65407898843838
1874,Hist-NAT,13.497025995138332,13.360570993602835,13.628517340210891
1875,Hist-NAT,13.46867720538695,13.361330483915276,13.575696857400322
1876,Hist-NAT,13.507981351489965,13.351390892585783,13.658755777246261
1877,Hist-NAT,13.514357472850513,13.404015655587603,13.648123357673654
1878,Hist-NAT,13.511149549196695,13.377557345318753,13.650288305924743
1879,Hist-NAT,13.490819657995539,13.345220298845032,13.619081651536181
1880,Hist-NAT,13.452605461103612,13.308633645200809,13.569197173742202
1881,Hist-NAT,13.497031266018132,13.374270267925459,13.629760069818257
1882,Hist-NAT,13.522579553531456,13.354291948703366,13.636758100892774
1883,Hist-NAT,13.474512675317426,13.284847997476993,13.60892536598837
1884,Hist-NAT,13.20705938193663,13.07451818152237,13.36118089041302
1885,Hist-NAT,13.252629323179546,13.082960436325857,13.410181777284038
1886,Hist-NAT,13.337752640462885,13.1616357397431,13.486639444812123
1887,Hist-NAT,13.38031809993503,13.209694210054863,13.489333827705224
1888,Hist-NAT,13.3862837902514,13.266541730373877,13.566744747153086
1889,Hist-NAT,13.405304531554803,13.263694769359352,13.54922684582247
