state,nsdp_current_prices_rs_crore,region,state_share_of_national_pct,region_total_nsdp,state_share_of_region_pct
Madhya Pradesh,844808.7,Central_India,7.084188320051445,1909345.3604000001,44.24598700273983
Odisha,472994.8304,Central_India,3.9663233261735984,1909345.3604000001,24.772617893543863
Chhattisgarh,308617.38,Central_India,2.5879274666097527,1909345.3604000001,16.16351794708035
Jharkhand,282924.45,Central_India,2.3724780345502823,1909345.3604000001,14.817877156635953
Uttar Pradesh,1539807.898,Indo_Gangetic_Plain,12.912141087247997,5002271.7152,30.78217229426202
West Bengal,1072955.823,Indo_Gangetic_Plain,8.997328163438405,5002271.7152,21.449371087534004
Delhi,712841.918,Indo_Gangetic_Plain,5.977573845461901,5002271.7152,14.250363806387098
Haryana,665176.7209,Indo_Gangetic_Plain,5.577874798128735,5002271.7152,13.297492794699275
Bihar,532573.2647,Indo_Gangetic_Plain,4.46592145814716,5002271.7152,10.646628072635728
Punjab,478916.0906,Indo_Gangetic_Plain,4.015976368748593,5002271.7152,9.573971944481869
Assam,311031.49,Northeast,2.608171114509353,418507.90764,74.31914291749749
Tripura,48728.17,Northeast,0.4086126631644314,418507.90764,11.643309268582785
Meghalaya,31222.16764,Northeast,0.2618151485915997,418507.90764,7.460353094894749
Arunachal Pradesh,27526.08,Northeast,0.23082140895660958,418507.90764,6.577194719024976
Maharashtra,2331629.183,Western_Ghats,19.55200061848285,4595146.6475100005,50.74112671166772
Karnataka,1468441.452,Western_Ghats,12.313693955729605,4595146.6475100005,31.956356665912132
Kerala,727721.8373,Western_Ghats,6.102350200757921,4595146.6475100005,15.83674892496271
Goa,67354.17521,Western_Ghats,0.5648020212497582,4595146.6475100005,1.4657676974574383
