state,year,rx5day_mm
Assam,2000,230.1631585927077
Assam,2001,229.19555113349165
Assam,2002,282.8127286225977
Assam,2003,266.1596935043873
Assam,2004,311.06000451907306
Assam,2005,184.60416560777477
Assam,2006,197.72350154997596
Assam,2007,348.0132003347639
Assam,2008,196.3602946503062
Assam,2009,207.3885457683617
Assam,2010,245.17107003507482
Assam,2011,228.15871388341338
Assam,2012,289.04559266533647
Assam,2013,168.82615802993237
Assam,2014,334.7762287623446
Assam,2015,286.0588555497183
Assam,2016,193.13600004491676
Assam,2017,268.7134820347101
Assam,2018,213.86825884496665
Assam,2019,254.3069545732418
Assam,2020,213.0543812261501
Bihar,2000,243.2756117998486
Bihar,2001,164.1259770196227
Bihar,2002,165.48948689675188
Bihar,2003,165.36416978180316
Bihar,2004,189.03736583825827
Bihar,2005,158.87858379014563
Bihar,2006,215.44191449114956
Bihar,2007,235.83435821870563
Bihar,2008,166.2631877860092
Bihar,2009,192.70287367360876
Bihar,2010,154.4422843759365
Bihar,2011,182.84154596581052
Bihar,2012,158.81757741013436
Bihar,2013,117.93933378898961
Bihar,2014,142.01479605720357
Bihar,2015,167.99721134468894
Bihar,2016,167.93298420528998
Bihar,2017,161.09998846915047
Bihar,2018,170.09465141838976
Bihar,2019,277.62056538701825
Bihar,2020,160.64765478900668
Chhattisgarh,2000,193.56703170337815
Chhattisgarh,2001,254.7014724220877
Chhattisgarh,2002,170.37765503779286
Chhattisgarh,2003,234.82357452009046
Chhattisgarh,2004,206.5284010025107
Chhattisgarh,2005,225.94859226496658
Chhattisgarh,2006,221.6260616230881
Chhattisgarh,2007,190.78554831786104
Chhattisgarh,2008,171.12683996414378
Chhattisgarh,2009,182.8621169852988
Chhattisgarh,2010,169.7476196009909
Chhattisgarh,2011,228.19035260383268
Chhattisgarh,2012,202.50210523590178
Chhattisgarh,2013,190.50051436837424
Chhattisgarh,2014,237.80960117032208
Chhattisgarh,2015,207.24197278946704
Chhattisgarh,2016,227.75188826341397
Chhattisgarh,2017,197.57605251490676
Chhattisgarh,2018,192.1158223647254
Chhattisgarh,2019,191.4269742788699
Chhattisgarh,2020,192.81919045953512
Goa,2000,311.0430607325594
Goa,2001,232.91492107552543
Goa,2002,353.9543403610137
Goa,2003,285.380164470711
Goa,2004,318.87419131488144
Goa,2005,394.466147040937
Goa,2006,341.67627438213265
Goa,2007,385.60599018918197
Goa,2008,407.6442162496463
Goa,2009,420.1290855484469
Goa,2010,371.67077845490917
Goa,2011,417.275588098906
Goa,2012,310.10158128949473
Goa,2013,382.37897146059953
Goa,2014,342.0448134976853
Goa,2015,260.21717085349
